Month,State,Total_Claims_Received,Individual_Claims,Community_Claims,Claims_Recommended_SDLC,Claims_Recommended_DLC,Approved_Claims,Pending_Claims,Rejected_Claims,Titles_Distributed,Pending_Rate,Approval_Rate,Rejection_Rate,Disposal_Rate,Workflow_Bottleneck_Rate,SDLC_Dropoff_Rate,DLC_Dropoff_Rate,Rejection_Anomaly_Score,Pending_Backlog_Growth,Individual_vs_Community_Imbalance,Data_Inconsistency_Flag,Risk_Score,Risk_Level
2025-02,Andhra Pradesh,288381,285087,3294,267906,231553,228473,1498,58410,228473,0.005194516975806312,0.7922609325857113,0.20254455043848243,0.9948054830241937,0.0,0.07099982315062366,0.13569311624226407,-0.675582966679479,-0.003989361702127659,86.52109256449165,0,6.26,Low
2025-02,Assam,155011,148965,6046,0,0,0,155011,0,58802,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3020827253786376,0.0,24.63452951876964,1,55.0,High
2025-02,Bihar,4696,4696,0,4696,4696,200,0,4496,191,0.0,0.04258943781942078,0.9574105621805792,1.0,0.045,0.0,0.0,1.659327418136122,-1.0,4696.0,0,24.84,Low
2025-02,Chhattisgarh,941977,888028,53949,804383,793307,529205,12123,400649,527833,0.012869740980936902,0.5618024643913812,0.425327794627682,0.9871302590190631,0.002592568097429163,0.14606938385969084,0.013769560023023857,0.013518015917142825,0.0,16.46020389249305,0,13.2,Low
2025-02,Goa,10136,9757,379,4660,2505,1988,7970,178,871,0.7863062352012629,0.19613259668508287,0.0175611681136543,0.21369376479873717,0.5618712273641852,0.5402525651144435,0.4624463519313305,-1.2477634777767557,-0.031591737545565005,25.676315789473684,0,39.44,Medium
2025-02,Gujarat,190056,182869,7187,186192,118987,103080,84644,2332,103080,0.44536347181883235,0.5423664604116681,0.012270067769499515,0.5546365281811677,0.0,0.020330849854779644,0.36094461631004554,-1.2641296208385648,0.0,25.440873678352812,0,11.75,Low
2025-02,Himachal Pradesh,5419,4880,539,2861,1121,659,4706,54,659,0.8684259088392693,0.12160915298025465,0.009964938180476102,0.13157409116073077,0.0,0.4720428123269976,0.6081789584061517,-1.2712597219850388,0.0,9.037037037037036,0,29.04,Low
2025-02,Jammu & Kashmir,46090,33233,12857,0,0,4505,1661,39924,6020,0.0360381861575179,0.09774354523757865,0.8662182686049035,0.9639618138424821,0.0,1.0,0.0,1.3772563883468707,0.0,2.5846165811168142,1,52.56,Medium
2025-02,Jharkhand,110756,107032,3724,71636,65731,62051,20598,28107,61970,0.18597638051211673,0.560249557586045,0.25377406190183827,0.8140236194878833,0.001305377834362057,0.353208855502185,0.08243062147523592,-0.5171226353568829,0.0,28.733422818791947,0,16.32,Low
2025-02,Karnataka,294489,288549,5940,113013,17577,16326,24894,253269,16326,0.0845328687998533,0.05543840347177653,0.8600287277283701,0.9154671312001467,0.0,0.6162403349530883,0.8444692203551803,1.3581112380221056,0.0,48.569096111765695,0,32.86,Medium
