Month,State,Total_Claims_Received,Individual_Claims,Community_Claims,Claims_Recommended_SDLC,Claims_Recommended_DLC,Approved_Claims,Pending_Claims,Rejected_Claims,Titles_Distributed,Pending_Rate,Approval_Rate,Rejection_Rate,Disposal_Rate,Workflow_Bottleneck_Rate,SDLC_Dropoff_Rate,DLC_Dropoff_Rate,Rejection_Anomaly_Score,Pending_Backlog_Growth,Individual_vs_Community_Imbalance,Data_Inconsistency_Flag,Risk_Score,Risk_Level
2026-05,Andhra Pradesh,288409,285115,3294,288409,288409,228489,1525,58395,228489,0.0053,0.7922,0.2025,0.9947,0.2078,0.0,0.2078,-0.7039,0,0.9772,0,10.42,Low
2026-05,Assam,216644,208062,8582,105737,81141,81141,119124,16379,87436,0.5499,0.3745,0.0756,0.4501,0.1135,0.5119,0.2326,-1.1086,0,0.9208,0,21.22,Low
2026-05,Bihar,4696,4696,0,4696,191,21,179,4496,191,0.0381,0.0045,0.9574,0.9619,0.9955,0.0,0.9955,1.7041,0,1.0,0,67.01,High
2026-05,Chhattisgarh,947479,890220,57259,843086,841839,534521,6171,406787,534068,0.0065,0.5642,0.4293,0.9935,0.3257,0.1102,0.366,0.0196,0,0.8791,0,19.27,Low
2026-05,Goa,10346,9956,390,6358,5605,3459,5060,1827,1047,0.4891,0.3343,0.1766,0.5109,0.2802,0.3855,0.456,-0.7865,0,0.9246,0,26.09,Low
2026-05,Gujarat,190242,183055,7187,186192,119410,103524,84387,2331,103524,0.4436,0.5442,0.0123,0.5564,0.4345,0.0213,0.444,-1.3106,0,0.9244,0,24.48,Low
2026-05,Himachal Pradesh,6968,6100,868,6968,6968,1098,5814,56,1098,0.8344,0.1576,0.008,0.1656,0.8424,0.0,0.8424,-1.3243,0,0.7509,0,46.29,Medium
2026-05,J&K,46090,33233,12857,429,0,0,6166,39924,6020,0.1338,0.0,0.8662,0.8662,0.0093,0.9907,1.0,1.4132,0,0.4421,0,40.03,Medium
2026-05,Jharkhand,110756,107032,3724,71636,65731,62051,20598,28107,61970,0.186,0.5602,0.2538,0.814,0.0865,0.3532,0.1338,-0.5402,0,0.9328,0,14.09,Low
2026-05,Karnataka,295176,289236,5940,154427,18470,16700,15850,262626,16700,0.0537,0.0566,0.8897,0.9463,0.4666,0.4768,0.8919,1.4882,0,0.9598,0,50.4,High
2026-05,Kerala,45598,44580,1018,40632,31209,30203,2179,13216,29807,0.0478,0.6624,0.2898,0.9522,0.2287,0.1089,0.2567,-0.4254,2179,0.9553,0,14.4,Low
2026-05,Madhya Pradesh,807405,766430,40975,807405,807405,289461,273457,244487,289461,0.3387,0.3585,0.3028,0.6613,0.6415,0.0,0.6415,-0.3839,0,0.8985,0,33.77,Medium
2026-05,Maharashtra,409156,397897,11259,409156,363117,363117,0,172631,208335,0.0,0.8875,0.4219,1.0,0.1125,0.0,0.1125,-0.004,-62459,0.945,1,23.36,Low
2026-05,Odisha,769977,733158,36819,582159,500189,484481,139151,146345,473936,0.1807,0.6292,0.1901,0.8193,0.1269,0.2439,0.1678,-0.7434,0,0.9044,0,13.35,Low
